"","id","blurb","launch","created"
"5350",2099607816,"""Project is 12 4' x 4' zodiac paintings with similar style as above picture & printed into astrology calendar w/astrology daily details."",",1404326440,1403727151
"5353",1324493932,"""Cosmos the Opera is a sensual personification of the Universe. Just envision the magnificent Operatic Diva's adorned as cosmic beings."",",1404932859,1404927401
"5360",833065218,"""Holiday Lightshow for all the community to enjoy"",",1405362816,1405269201
"5372",93780539,"""Much has been written by women on breast cancer. Yet, there is little that has been written for the theatre on this by men. I have!"",",1405485297,1405369276
"5410",66373447,"""A true horror story! Someone has stolen most of our haunt from storage. We need your help and that's why we are reaching out to you!"",",1405375514,1405211447
"5455",427788313,"""I would like to start a Acting Company that supports and includes LGBTQ youth and young adults in very conservative North Texas"",",1405095123,1404972331
"5476",298302228,"""A social connection between treatment & recovery while confirming the link between them, provided by writers/directors in recovery."",",1406816875,1406635178
"5539",1698707961,"""My wife that you see pictured here, was involved in a bad accident that left all of her front teeth broken. Photo is a before picture"",",1405106912,1404909038
"5644",1021456295,"""I am starting a production company for  2 projects! a TV show AND a theatre show!"",",1405184155,1405022209
"5709",750792934,"""Bringing the Rocky Horror Picture Show with live floor show to the Cascade Theatre in Redding, CA, for Halloween 2014!"",",1404378791,1402623042
"5725",2124751704,"""Project Z will be an immersive zombie experience with story lines. Create your own plan of action to tackle the horde and survive!"",",1405359506,1405336947
"5735",96998388,"""Savage in Limbo is the pilot production of dasGROUP Theatre; a Dallas-based production company with an eye for grit & love of theatre."",",1405217355,1401571286
"5737",354982714,"""We are a small twin screen community movie theater, serving Westhampton Beach for over 80 years."",",1404226430,1401987084
"5768",306014522,"""I've been dreaming of this opportunity for five years and now is my chance!"",",1405412411,1405168048
"5776",2083558126,"""I love reading stories to anyone who will listen, help me buy some recording equipment and I'll read to you too!"",",1405945243,1404997168
"5785",990398264,"""Tyke wants to expand her puppet theater show to weekly online web shows and is looking for backers."",",1405097102,1404931332
"5794",752930030,"""Entertainment Showcase of Actors, Models & Vocalists"",",1404281337,1403128096
"5798",1422239378,"""Fried Chicken and Latkes is an NAACP Award winning solo show with rave reviews from the NYTIMES based on race in 1960s-80s"",",1404752678,1404659219
"5820",1620065370,"""We would like quite a fair amount of money to go on tour with our podcast, TLDR: The Internet Digest."",",1405395656,1405392724
"5840",1038366544,"""This camp runs 9/12 months out of the year with different levels of terror to choose from, this overnight stay is unlike anything else!"",",1405367509,1405020924
"5854",650517027,"""Halfway, Nebraska explores the limits of hope and what it means to love someone who may be too far damaged to save."",",1406752985,1402945961
"5863",1320279085,"""This Theological Comedy tells a story of when seemingly similar beliefs are discovered to be worlds apart; Damnation-Southern Style."",",1405100992,1404826105
"5897",1940562130,"""In October, we plan to premiere Oedipus Revenant, a historically grounded horror adaptation of Sophocles’ classic, Oedipus the Tyrant."",",1404970632,1404539658
"5934",1853519770,"""Ready for some prehistoric fun!!!? Take a bite of this!!!! Invite over a DINOSAUR for a special event!"",",1405455827,1405043232
"5963",177919199,"""A LIVE history infused, frightening magic and mind reading show in the heart of the Halloween capital of the world, Salem, MA!!"",",1404857339,1404776757
"5975",1203867721,"""Spin! is an original musical comedy-drama presented by Blue Palm Productions."",",1404858079,1404340662
"6024",129906562,"""A full staged reading of a new play about a boy who learns how to be happy from the most unexpected person."",",1404658329,1400272305
"6032",1552108265,"""A group of 12 friends, separated by time, space, state borders and oceans want to head to London for the adventure of a lifetime."",",1404892123,1404889846
"6062",392453627,"""Blue Ridge Community College is doing a show to help out students in hard times. Funding for the show is low and it's for a good cause."",",1404869060,1404861588
"6091",2117240972,"""The Snow Dog is children’s theatre at its spellbinding best - and features the appearance of a real life Siberian husky!"",",1406297758,1405522227
"6123",491143338,"""Help us exceed our goal to convert the Sidney Auto Vue Drive-In from 35mm to digital. This will cost upwards of $75,000. Thank you!"",",1406170810,1404704401
"6124",1859155813,"""A interactive step back into history when life was simple.  Stay in a historic home or old fashion rooms.  History coming to life."",",1404875928,1404762602
